"neq","nom","full_address","adresse","ville","province","code_postal","pays","nir","titre","categorie_transport","date_inscription","date_prochaine_maj","code_securite","droit_circulation","droit_exploiter","motif","extra_values","vrac_numero_inscription","vrac_region_exploitation","vrac_nombre_camions","vrac_nom_courtier"
"1140159907","ÉCOLE DE CONDUITE PERMIS PLUS INC.","917, rue Notre-Dame E Thetford Mines (Québec)  G6G 2T3","917, rue Notre-Dame E","Thetford Mines","Québec","G6G 2T3","","R-131435-1","Sans objet","Personnes","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140161853","LIBRE-SERVICE MAURICE TURCOT INC.","","","","","","","R-525732-5","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140163248","LE PROJET EX MACHINA.","966, rue Saint-Jean Québec (Québec)  G1R 1R5","966, rue Saint-Jean","Québec","Québec","G1R 1R5","","R-049249-7","Exploitant de véhicules lourds","Marchandises","2009-12-07 16:03","2027-01-05","Satisfaisant - Non audité","Non","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140164618","LA REINE DU COUVRE PLANCHER INC.","4100, boul. Gene-H.-Kruger Trois-Rivières (Québec)  G9A 4M5","4100, boul. Gene-H.-Kruger","Trois-Rivières","Québec","G9A 4M5","","R-105233-2","Propriétaire et exploitant de véhicules lourds","Marchandises","2013-08-23 15:59","2026-08-25","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140164683","LOCATION D'OUTILLAGE S.M.L. INC.","1340, Parc Industriel Sainte-Marie (Québec)  G6E 1H4","1340, Parc Industriel","Sainte-Marie","Québec","G6E 1H4","","R-016332-0","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-02-07","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140165631","LES INVESTISSEMENTS IRÈNE ET NORMAND BERNIER LTÉE","155, ch. Ridge Stanbridge East (Québec)  J0J 2H0","155, ch. Ridge","Stanbridge East","Québec","J0J 2H0","","R-522220-4","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-01-15","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140165680","MATÉRIAUX FIDÈLE LÉVESQUE INC.","343 A, rue Principale Saint-Gabriel-de-Rimouski (Québec)  G0K 1M0","343 A, rue Principale","Saint-Gabriel-de-Rimouski","Québec","G0K 1M0","","R-017201-6","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-04-19","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140161119","EXCAVATION GILLES GOUPIL INC.","1947, ch. Laliberté Sherbrooke (Québec)  J1R 0C5","1947, ch. Laliberté","Sherbrooke","Québec","J1R 0C5","","R-503484-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-01-26","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140161127","DUMAS ET FILS PIÈCES D'AUTOS USAGÉES INC.","730, chemin Carrier Cookshire-Eaton (Québec)  J0B 1M0","730, chemin Carrier","Cookshire-Eaton","Québec","J0B 1M0","","R-529536-6","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140161531","3104-2146 QUÉBEC INC.","200, boul. Harwood Vaudreuil-Dorion (Québec)  J7V 3W6","200, boul. Harwood","Vaudreuil-Dorion","Québec","J7V 3W6","","R-576820-6","Propriétaire de véhicules lourds","Sans objet","2005-06-15 15:06","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140161556","3099-0907 QUÉBEC INC.","3854, ch. des Érables Saguenay (Québec)  G7X 7V6","3854, ch. des Érables","Saguenay","Québec","G7X 7V6","","R-109235-3","Propriétaire et exploitant de véhicules lourds","Marchandises","2014-05-22 09:54","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140161648","ENTREPRISES SERGE GUINDON INC.","3995, rte Harwood Vaudreuil-Dorion (Québec)  J7V 0G1","3995, rte Harwood","Vaudreuil-Dorion","Québec","J7V 0G1","","R-598547-9","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140152753","LES IMMEUBLES R. SAVIGNAC INC.","","","","","","","R-533120-3","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140153207","HOLDING FAMILLE MOYEN INC.","100, ch. De Beaujeu Saint-Polycarpe (Québec)  J0P 1X0","100, ch. De Beaujeu","Saint-Polycarpe","Québec","J0P 1X0","","R-534865-2","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140153504","MAHEU & FRÈRE LIMITÉE","970, rue Notre-Dame E Victoriaville (Québec)  G6P 4B9","970, rue Notre-Dame E","Victoriaville","Québec","G6P 4B9","","R-012506-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140154056","PRODUITS DE FILS DE FER LAURENTIAN LTÉE","","","","","","","R-535917-0","Exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140154171","ALMAMIX LTÉE","2026, rue Deschênes Saguenay (Québec)  G7S 4T7","2026, rue Deschênes","Saguenay","Québec","G7S 4T7","","R-008494-8","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-12-01","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140154288","3103-9753 QUÉBEC INC.","1110, av. du Cardinal Bécancour (Québec)  G9H 4N8","1110, av. du Cardinal","Bécancour","Québec","G9H 4N8","","R-014581-4","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-04-09","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140154338","SEMENCES PROGRAIN INC.","145, rang du Bas-de-la-Rivière N Saint-Césaire (Québec)  J0L 1T0","145, rang du Bas-de-la-Rivière N","Saint-Césaire","Québec","J0L 1T0","","R-582117-9","Propriétaire et exploitant de véhicules lourds","Marchandises","2006-11-03 09:08","2026-01-20","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140154460","AUTO-MOTEUR RIVIÈRE-DU-LOUP INC.","81, rue Lafontaine Rivière-du-Loup (Québec)  G5R 2Z8","81, rue Lafontaine","Rivière-du-Loup","Québec","G5R 2Z8","","R-036597-4","Propriétaire et exploitant de véhicules lourds","Marchandises","2002-09-03 15:19","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140154494","JEAN-MARC MORENCY INC.","1825, rue Théberge Val-d'Or (Québec)  J9P 5X3","1825, rue Théberge","Val-d'Or","Québec","J9P 5X3","","R-010509-9","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140155103","EXCAVATION DE CHICOUTIMI INC.","1201, boul. Saint-Paul Saguenay (Québec)  G7J 3Y2","1201, boul. Saint-Paul","Saguenay","Québec","G7J 3Y2","","R-000665-1","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-10-18","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds,Registre du camionnage en vrac","8-Q-503020","Région 2","2","LES TRANSPORTEURS EN VRAC DE CHICOUTIMI ET DUBUC-NORD INC."
"1140155889","LES ENTREPRISES DANIEL ROBERT INC.","11550, av. Philippe-Panneton Montréal (Québec)  H1E 4G4","11550, av. Philippe-Panneton","Montréal","Québec","H1E 4G4","","R-522095-0","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-01-29","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140156150","FLEX-O-VERRE INC.","739, 7e Rang O Saint-Lazare-de-Bellechasse (Québec)  G0R 3J0","739, 7e Rang O","Saint-Lazare-de-Bellechasse","Québec","G0R 3J0","","R-033936-7","Propriétaire et exploitant de véhicules lourds","Marchandises","2001-06-27 11:15","2026-07-03","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140156242","9002-6386 QUÉBEC INC.","","","","","","","R-033869-0","Propriétaire et exploitant de véhicules lourds","Marchandises","2001-06-18 15:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140157752","LES CONSTRUCTIONS C.G. BISSONNETTE INC.","53, rue Turcotte, App. 4 CP 1955 Warwick (Québec)  J0A 1M0","53, rue Turcotte, App. 4 CP 1955","Warwick","Québec","J0A 1M0","","R-040360-1","Propriétaire et exploitant de véhicules lourds","Marchandises","2004-06-28 09:24","2025-12-05","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140157935","PEINTURES INDUSTRIELLES GLASS SHIELD LTÉE","111, rue Bombardier Châteauguay (Québec)  J6J 4Z2","111, rue Bombardier","Châteauguay","Québec","J6J 4Z2","","R-549522-2","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-07-28 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140157976","ISRA-GUARD (I.G.S.) SÉCURITÉ INC.","5165, ch. Queen-Mary, App. 512 Montréal (Québec)  H3W 1X7","5165, ch. Queen-Mary, App. 512","Montréal","Québec","H3W 1X7","","R-105715-8","Propriétaire et exploitant de véhicules lourds","Marchandises","2013-09-27 14:22","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140158826","THERMOCO INC.","","","","","","","R-533093-2","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140166241","LA COMPAGNIE D'EXTERMINATION LANIEL INC.","1007, rue d'Upton Montréal (Québec)  H8R 2V2","1007, rue d'Upton","Montréal","Québec","H8R 2V2","","R-600112-8","Propriétaire et exploitant de véhicules lourds","Marchandises","2011-10-20 16:52","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140167173","FERME J.C. PRÉMONT & FILS INC.","2002, ch. Royal Sainte-Famille-de-l'Île-d'Orléans (Québec)  G0A 3P0","2002, ch. Royal","Sainte-Famille-de-l'Île-d'Orléans","Québec","G0A 3P0","","R-038060-1","Propriétaire et exploitant de véhicules lourds","Marchandises","2003-05-09 16:51","2026-10-22","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140167355","ACTION R-VAC INC.","6905, boul. Gouin E, App. 202 Montréal (Québec)  H1G 6L5","6905, boul. Gouin E, App. 202","Montréal","Québec","H1G 6L5","","R-530790-6","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-05-06","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140167371","FERME ELGIN INC.","300, 3e Rang E Saint-Aubert (Québec)  G0R 2R0","300, 3e Rang E","Saint-Aubert","Québec","G0R 2R0","","R-022438-7","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-02-18","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140167520","AUTOMOBILES MAUGER FORD INC.","119, rue Grande Allée Est Grande-Rivière (Québec)  G0C 1V0","119, rue Grande Allée Est","Grande-Rivière","Québec","G0C 1V0","","R-013309-1","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-06-16","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140168023","LES ENTREPRISES C.T.E. INC.","","","","","","","R-000400-3","Propriétaire et exploitant de véhicules lourds","Sans objet","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140175481","ASPHALTE GÉNÉRALE INC.","100, Chemin Village St-Pierre Nord Joliette (Québec)  J6E 0H4","100, Chemin Village St-Pierre Nord","Joliette","Québec","J6E 0H4","","R-502232-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-03-24","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140175804","3102-5281 QUÉBEC INC.","766, 3e Rang Saint-Charles-de-Bourget (Québec)  G0V 1G0","766, 3e Rang","Saint-Charles-de-Bourget","Québec","G0V 1G0","","R-050880-5","Propriétaire et exploitant de véhicules lourds","Marchandises","2010-12-14 15:57","2026-01-26","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds,Registre du camionnage en vrac","8-Q-515156","Région 2","1","LES TRANSPORTEURS EN VRAC DE CHICOUTIMI ET DUBUC-NORD INC."
"1140179723","LES BREUVAGES GASPÉ INC.","419, montée de Sandy Beach Gaspé (Québec)  G4X 2E9","419, montée de Sandy Beach","Gaspé","Québec","G4X 2E9","","R-008646-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-09-20","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140180010","R. GUILBEAULT CONSTRUCTION INC.","775, boul. Lemire Drummondville (Québec)  J2C 7X5","775, boul. Lemire","Drummondville","Québec","J2C 7X5","","R-000201-5","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-11-29","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140180085","9002-7145 QUÉBEC INC.","","","","","","","R-551470-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-11-19 11:30","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140180374","LES MARAÎCHERS POTVIN INC.","1030, 3e Rang E Métabetchouan - Lac-à-la-Croix (Québec)  G8G 2E5","1030, 3e Rang E","Métabetchouan - Lac-à-la-Croix","Québec","G8G 2E5","","R-016362-7","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-09-27","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140180754","TRANSPORT MARICOURT INC.","4015, boul. Sir-Wilfrid-Laurier, App. 1 Longueuil (Québec)  J3Y 3X2","4015, boul. Sir-Wilfrid-Laurier, App. 1","Longueuil","Québec","J3Y 3X2","","R-503894-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-10-08","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140180770","FERDINAND HERVIEUX INC.","155, rang Saint-Jean-Baptiste Lanoraie (Québec)  J0K 1E0","155, rang Saint-Jean-Baptiste","Lanoraie","Québec","J0K 1E0","","R-118268-3","Propriétaire et exploitant de véhicules lourds","Marchandises","2016-03-10 14:54","2026-03-09","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140176679","FERME TROIS-B INC.","1443, ch. de la Côte-Georges Mascouche (Québec)  J7K 3C2","1443, ch. de la Côte-Georges","Mascouche","Québec","J7K 3C2","","R-544526-8","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140177248","COOP FORESTIÈRE DE LA MATAPÉDIA","810, Route 132 Sainte-Florence (Québec)  G0J 2M0","810, Route 132","Sainte-Florence","Québec","G0J 2M0","","R-025951-6","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-09-06","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140177420","H. DAGENAIS & FILS INC.","304, rue Principale Saint-Sauveur (Québec)  J0R 1R0","304, rue Principale","Saint-Sauveur","Québec","J0R 1R0","","R-533058-5","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-01-17","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140178493","PRÉVERCO INC.","285, rue de Rotterdam Saint-Augustin-de-Desmaures (Québec)  G3A 2E5","285, rue de Rotterdam","Saint-Augustin-de-Desmaures","Québec","G3A 2E5","","R-022973-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-01-14","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140169351","HENRI-PAUL SAVARD INC.","","","","","","","R-003521-3","Sans objet","Personnes","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140169542","LULUMCO INC.","79, rue Saint-Alphonse,  CP 370 Sainte-Luce (Québec)  G0K 1P0","79, rue Saint-Alphonse,  CP 370","Sainte-Luce","Québec","G0K 1P0","","R-018509-1","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140169609","EBC INC.","1095, rue Valets,  CP 158 L'Ancienne-Lorette (Québec)  G2E 3M3","1095, rue Valets,  CP 158","L'Ancienne-Lorette","Québec","G2E 3M3","","R-005353-9","Propriétaire et exploitant de véhicules lourds","Marchandises et personnes","1999-04-01 00:00","2026-11-20","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140171050","CENTRE DU COMPTOIR LASALLE INC.","857, rang Notre-Dame Saint-Chrysostome (Québec)  J0S 1K0","857, rang Notre-Dame","Saint-Chrysostome","Québec","J0S 1K0","","R-515420-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140171084","FORNIRAMA INC.","9100, Maurice-Duplessis Montréal (Québec)  H1E 7G2","9100, Maurice-Duplessis","Montréal","Québec","H1E 7G2","","R-540038-8","Exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-03-15","Satisfaisant - Non audité","Non","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140171183","JULIEN LACASSE INC.","7103, Rang Hétrière Est Saint-Charles-de-Bellechasse (Québec)  G0R 2T0","7103, Rang Hétrière Est","Saint-Charles-de-Bellechasse","Québec","G0R 2T0","","R-005763-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-04-15","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140171209","RUDSAK INC.","9160, boul. Saint-Laurent, App. 400 Montréal (Québec)  H2N 1M9","9160, boul. Saint-Laurent, App. 400","Montréal","Québec","H2N 1M9","","R-588768-3","Propriétaire et exploitant de véhicules lourds","Marchandises","2008-07-31 09:50","2026-10-11","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140171720","CANADA BILLARD & BOWLING INC.","4050, boul. Industriel Laval (Québec)  H7L 6C3","4050, boul. Industriel","Laval","Québec","H7L 6C3","","R-524046-1","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-03-03","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140171951","PATISSERIE DAGOBERT INC","","","","","","","R-552849-3","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140172108","GESTION MÉDICALE PIERRE DU TREMBLAY INC","1300, av. Charles-Fitzpatrick Québec (Québec)  G1T 2H7","1300, av. Charles-Fitzpatrick","Québec","Québec","G1T 2H7","","R-107911-1","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140172330","1861-2291 QUÉBEC INC.","424, av. Otis Sept-Îles (Québec)  G4R 1L3","424, av. Otis","Sept-Îles","Québec","G4R 1L3","","R-116991-2","Propriétaire et exploitant de véhicules lourds","Marchandises","2015-11-10 16:12","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140172504","RENÉ PERRON LIMITÉE","9150, rue Pascal-Gagnon Montréal (Québec)  H1P 2X4","9150, rue Pascal-Gagnon","Montréal","Québec","H1P 2X4","","R-522310-3","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-01-29","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140173106","GUITÉ MÉCANIQUE MARINE INC.","630, 1e Avenue Lachine (Québec)  H8S 2S5","630, 1e Avenue","Lachine","Québec","H8S 2S5","","R-507228-6","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140173395","FLORENT GREGOIRE INC.","","","","","","","R-541020-5","Sans objet","Sans objet","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140174690","MENUISERIE D. POULIOT INC.","580, av. Béchard Québec (Québec)  G1M 2E9","580, av. Béchard","Québec","Québec","G1M 2E9","","R-018472-2","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-04-03","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140175176","TRANSPORT GHR INC.","350, ch. Sir-Lomer-Gouin,  CP 28 RR 1 Deschambault-Grondines (Québec)  G0A 1W0","350, ch. Sir-Lomer-Gouin,  CP 28 RR 1","Deschambault-Grondines","Québec","G0A 1W0","","R-002478-7","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-07-20","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds,Registre du camionnage en vrac","6-C-503627","Région 3","1","LES TRANSPORTEURS EN VRAC DE PORTNEUF INC."
"1140187452","ENTREPRISES JAMCO INC.","193, av. Saint-Alphonse Saint-Bruno (Québec)  G0W 2L0","193, av. Saint-Alphonse","Saint-Bruno","Québec","G0W 2L0","","R-100549-6","Propriétaire et exploitant de véhicules lourds","Marchandises","2012-11-21 11:43","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140188716","LES ATELIERS V.R. INC.","","","","","","","R-552408-8","Propriétaire et exploitant de véhicules lourds","Marchandises","2000-02-01 10:11","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140192304","ÉPANDAGE C.M.D. INC.","2621, de la Rotonde Lévis (Québec)  G6X 2M2","2621, de la Rotonde","Lévis","Québec","G6X 2M2","","R-025953-2","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-06-23","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140194672","JEAN-YVES DION INC.","1308, ch. Dion Sherbrooke (Québec)  J1R 0R8","1308, ch. Dion","Sherbrooke","Québec","J1R 0R8","","R-122775-1","Propriétaire et exploitant de véhicules lourds","Marchandises","2017-01-18 11:19","2026-02-04","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140189672","JOUET K.I.D. INC","1100, rue Bouvier, App. 150 Québec (Québec)  G2K 1L9","1100, rue Bouvier, App. 150","Québec","Québec","G2K 1L9","","R-049596-1","Propriétaire et exploitant de véhicules lourds","Marchandises","2010-03-23 13:23","2026-07-26","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140189938","TRANSPORT JEDAN INC.","420 A, av. Pie-X Saint-Christophe-d'Arthabaska (Québec)  G6R 0M9","420 A, av. Pie-X","Saint-Christophe-d'Arthabaska","Québec","G6R 0M9","","R-005041-0","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-11-23","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140181182","LES ENTREPRISES GER-DAN INC.","1241, ch. Saint-Louis Saint-Lazare (Québec)  J7T 1Z8","1241, ch. Saint-Louis","Saint-Lazare","Québec","J7T 1Z8","","R-552168-8","Propriétaire et exploitant de véhicules lourds","Marchandises","2000-01-12 13:41","2026-09-14","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140181745","RÉCUMAX INC.","318, av. du Maréchal Lévis (Québec)  G6C 1T8","318, av. du Maréchal","Lévis","Québec","G6C 1T8","","R-006560-8","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","","Satisfaisant - Non audité","Non","Non","N'a pas donné suite à la mise à jour de son inscription","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140182149","CONSTRUCTIONS PIERRE MCHUGH INC.","","","","","","","R-032507-7","Sans objet","Marchandises","Sans objet","","Sans objet","Non","Non","A cessé d'exploiter des véhicules lourds","Registre des propriétaires et des exploitants de véhicules lourds","","","",""
"1140182156","3089-7128 QUÉBEC INC.","1880, chemin Provencher Coaticook (Québec)  J1A 2S5","1880, chemin Provencher","Coaticook","Québec","J1A 2S5","","R-543060-9","Propriétaire et exploitant de véhicules lourds","Marchandises","1999-04-01 00:00","2026-08-02","Satisfaisant - Non audité","Oui","Oui","","Registre des propriétaires et des exploitants de véhicules lourds,Registre du camionnage en vrac","5-M-518134","Région 5","1","LES TRANSPORTEURS EN VRAC D'ORFORD INC."
